tavg,prcp,snow,year,month,day,hour,wind,wind_flag
23.2,1,0,2020,6,23,0,27.0,0
23.4,1,0,2020,6,24,0,19.65,0
24.7,1,0,2020,6,25,0,15.95,0
25.2,1,0,2020,6,26,0,16.55,0
24.5,1,0,2020,6,27,0,19.0,0
24.9,1,0,2020,6,28,0,20.3,0
25.0,1,0,2020,6,29,0,19.85,0
25.2,1,0,2020,6,30,0,20.1,0
25.9,1,0,2020,7,1,0,17.4,0
25.7,1,0,2020,7,2,0,21.2,0
23.3,1,0,2020,7,3,0,24.049999999999997,0
23.3,1,0,2020,7,4,0,21.15,0
24.0,1,0,2020,7,5,0,27.9,0
25.5,1,0,2020,7,6,0,19.4,0
24.7,1,0,2020,7,7,0,20.6,0
24.8,1,0,2020,7,8,0,18.5,0
25.4,1,0,2020,7,9,0,18.45,0
25.8,1,0,2020,7,10,0,17.55,0
24.6,1,0,2020,7,11,0,23.45,0
24.7,1,0,2020,7,12,0,19.7,0
25.1,1,0,2020,7,13,0,16.1,0
24.9,1,0,2020,7,14,0,21.8,0
24.4,1,0,2020,7,15,0,22.5,0
23.4,1,0,2020,7,16,0,21.700000000000003,0
24.2,1,0,2020,7,17,0,20.5,0
24.7,1,0,2020,7,18,0,21.45,0
25.1,1,0,2020,7,19,0,28.599999999999998,0
24.8,1,0,2020,7,20,0,23.950000000000003,0
24.9,1,0,2020,7,21,0,17.55,0
25.3,1,0,2020,7,22,0,17.9,0
26.8,1,0,2020,7,23,0,18.45,0
26.5,1,0,2020,7,24,0,20.9,0
26.6,1,0,2020,7,25,0,23.0,0
26.1,1,0,2020,7,26,0,17.85,0
26.4,1,0,2020,7,27,0,22.5,0
26.6,1,0,2020,7,28,0,20.95,0
26.7,1,0,2020,7,29,0,19.65,0
27.4,1,0,2020,7,30,0,18.85,0
27.2,1,0,2020,7,31,0,17.65,0
27.6,1,0,2020,8,1,0,16.5,0
27.8,1,0,2020,8,2,0,25.950000000000003,0
24.9,1,0,2020,8,3,0,23.95,0
24.8,1,0,2020,8,4,0,24.25,0
25.1,1,0,2020,8,5,0,20.6,0
26.0,1,0,2020,8,6,0,25.200000000000003,0
25.8,1,0,2020,8,7,0,29.15,0
26.3,1,0,2020,8,8,0,26.3,0
27.4,1,0,2020,8,9,0,17.1,0
26.7,1,0,2020,8,10,0,22.05,0
26.8,1,0,2020,8,11,0,17.55,0
27.7,1,0,2020,8,12,0,25.15,0
27.1,1,0,2020,8,13,0,18.7,0
26.6,1,0,2020,8,14,0,18.85,0
26.2,1,0,2020,8,15,0,22.7,0
26.3,1,0,2020,8,16,0,20.5,0
25.9,1,0,2020,8,17,0,20.55,0
26.3,1,0,2020,8,18,0,17.85,0
26.3,1,0,2020,8,19,0,25.55,0
26.9,1,0,2020,8,20,0,17.950000000000003,0
27.4,1,0,2020,8,21,0,18.35,0
27.8,1,0,2020,8,22,0,22.0,0
25.9,1,0,2020,8,23,0,27.75,0
25.6,1,0,2020,8,24,0,21.35,0
26.1,1,0,2020,8,25,0,31.9,1
26.9,1,0,2020,8,26,0,21.85,0
26.6,1,0,2020,8,27,0,20.1,0
26.4,1,0,2020,8,28,0,25.55,0
20.0,1,0,2020,8,29,0,29.35,0
20.4,1,0,2020,8,30,0,22.9,0
20.8,1,0,2020,8,31,0,26.5,0
